"Jahr";"Quartal";"Monat";"Betriebsart";"Tourismus_Ankünfte";"Tourismus_Übernachtungen";"Tourismus_Betriebe";"Tourismus_Betten"
"2003";"1. Quartal";"03";"Hotels garni";8323;19253;24;2137
"2003";"1. Quartal";"03";"Gasthöfe";1145;2234;11;267
"2003";"1. Quartal";"03";"Pensionen";2176;5536;31;698
"2003";"1. Quartal";"03";"Jugendherbergen";4013;9220;5;778
"2003";"1. Quartal";"03";"sonstige";354;1325;6;182
"2003";"2. Quartal";"04";"Hotels";61257;128229;63;10447
"2003";"2. Quartal";"04";"Hotels garni";11871;26461;24;2151
"2003";"2. Quartal";"04";"Gasthöfe";1429;2971;12;282
"2003";"2. Quartal";"04";"Pensionen";2727;7387;32;721
"2003";"2. Quartal";"04";"Jugendherbergen";5281;12279;5;788
"2003";"2. Quartal";"04";"sonstige";468;1555;6;187
"2003";"2. Quartal";"05";"Hotels";90300;199853;64;10493
"2003";"2. Quartal";"05";"Hotels garni";16870;39191;24;2150
"2003";"2. Quartal";"05";"Gasthöfe";1978;3825;12;282
"2003";"2. Quartal";"05";"Pensionen";3397;9095;33;730
"2003";"2. Quartal";"05";"Jugendherbergen";6401;15516;5;788
"2003";"2. Quartal";"05";"sonstige";645;1904;6;187
"2003";"2. Quartal";"06";"Hotels";81326;170603;64;10494
"2003";"2. Quartal";"06";"Hotels garni";13786;32738;24;2152
"2003";"2. Quartal";"06";"Gasthöfe";1553;3713;12;282
"2003";"2. Quartal";"06";"Pensionen";2866;7319;31;711
"2003";"2. Quartal";"06";"Jugendherbergen";6578;14708;5;788
"2003";"2. Quartal";"06";"sonstige";673;1912;6;187
"2003";"3. Quartal";"07";"Hotels";77977;165871;62;10406
"2003";"3. Quartal";"07";"Hotels garni";12224;26751;24;2137
"2003";"3. Quartal";"07";"Gasthöfe";1526;3230;12;282
"2003";"3. Quartal";"07";"Pensionen";2650;6897;32;720
"2003";"3. Quartal";"07";"Jugendherbergen";6486;14183;5;788
"2003";"3. Quartal";"07";"sonstige";644;2486;6;187
"2003";"3. Quartal";"08";"Hotels";87645;185129;64;10900
"2003";"3. Quartal";"08";"Hotels garni";14182;30632;24;2141
"2003";"3. Quartal";"08";"Gasthöfe";1688;3606;12;282
"2003";"3. Quartal";"08";"Pensionen";2740;7676;31;711
"2003";"3. Quartal";"08";"Jugendherbergen";6187;13683;5;788
"2003";"3. Quartal";"08";"sonstige";493;1936;6;187
"2003";"3. Quartal";"09";"Hotels";94098;199707;64;10901
"2003";"3. Quartal";"09";"Hotels garni";16359;39372;24;2140
"2003";"3. Quartal";"09";"Gasthöfe";1667;3823;12;279
"2003";"3. Quartal";"09";"Pensionen";2893;7530;30;642
"2003";"3. Quartal";"09";"Jugendherbergen";5832;14844;5;783
"2003";"3. Quartal";"09";"sonstige";568;1933;6;187
"2003";"4. Quartal";"10";"Hotels";90000;186154;64;10899
"2003";"4. Quartal";"10";"Hotels garni";14690;33324;24;2140
"2003";"4. Quartal";"10";"Gasthöfe";2244;4494;17;354
"2003";"4. Quartal";"10";"Pensionen";2888;7711;34;687
"2003";"4. Quartal";"10";"Jugendherbergen";5893;14778;5;783
"2003";"4. Quartal";"10";"sonstige";588;1767;5;127
"2003";"4. Quartal";"11";"Hotels";68728;131438;64;10935
"2003";"4. Quartal";"11";"Hotels garni";11085;23675;24;2140
"2003";"4. Quartal";"11";"Gasthöfe";1531;3098;17;354
"2003";"4. Quartal";"11";"Pensionen";2303;5434;34;688
"2003";"4. Quartal";"11";"Jugendherbergen";3601;7333;5;782
"2003";"4. Quartal";"11";"sonstige";397;1345;5;127
"2003";"4. Quartal";"12";"Hotels";83832;167940;64;10937
"2003";"4. Quartal";"12";"Hotels garni";11324;24573;23;2154
"2003";"4. Quartal";"12";"Gasthöfe";1505;3159;17;353
"2003";"4. Quartal";"12";"Pensionen";2391;5636;34;687
"2003";"4. Quartal";"12";"Jugendherbergen";3712;7342;5;783
"2003";"4. Quartal";"12";"sonstige";437;1206;5;127
"2004";"1. Quartal";"01";"Hotels";37505;75001;64;10941
"2004";"1. Quartal";"01";"Hotels garni";5544;11941;22;1968
"2004";"1. Quartal";"01";"Gasthöfe";1156;2241;17;354
"2004";"1. Quartal";"01";"Pensionen";1494;3863;35;695
"2004";"1. Quartal";"01";"Jugendherbergen";2037;4253;5;788
"2004";"1. Quartal";"01";"sonstige";557;2338;6;311
"2004";"1. Quartal";"02";"Hotels";41855;80595;63;10445
"2004";"1. Quartal";"02";"Hotels garni";5653;11061;22;1937
"2004";"1. Quartal";"02";"Gasthöfe";1191;2360;17;354
"2004";"1. Quartal";"02";"Pensionen";1684;4777;35;695
"2004";"1. Quartal";"02";"Jugendherbergen";2474;6359;5;788
"2004";"1. Quartal";"02";"sonstige";500;2365;6;311
"2004";"1. Quartal";"03";"Hotels";62122;121857;64;10940
"2004";"1. Quartal";"03";"Hotels garni";8540;19545;22;1949
"2004";"1. Quartal";"03";"Gasthöfe";1240;2669;17;354
"2004";"1. Quartal";"03";"Pensionen";2182;5671;35;695
"2004";"1. Quartal";"03";"Jugendherbergen";4261;10421;5;788
"2004";"1. Quartal";"03";"sonstige";741;2942;6;311
"2004";"2. Quartal";"04";"Hotels";75217;158045;64;10955
"2004";"2. Quartal";"04";"Hotels garni";11441;24267;22;1951
"2004";"2. Quartal";"04";"Gasthöfe";1830;3654;17;356
"2004";"2. Quartal";"04";"Pensionen";2405;6453;34;684
"2004";"2. Quartal";"04";"Jugendherbergen";5379;12801;5;788
"2004";"2. Quartal";"04";"sonstige";884;3616;6;311
"2004";"2. Quartal";"05";"Hotels";94822;206173;64;10940
"2004";"2. Quartal";"05";"Hotels garni";15309;34538;22;1963
"2004";"2. Quartal";"05";"Gasthöfe";2038;4320;17;356
"2004";"2. Quartal";"05";"Pensionen";3312;8234;33;721
"2004";"2. Quartal";"05";"Jugendherbergen";6970;16649;5;788
"2004";"2. Quartal";"05";"sonstige";1197;4108;6;311
"2004";"2. Quartal";"06";"Hotels";95940;199592;64;11194
"2004";"2. Quartal";"06";"Hotels garni";15368;34476;22;1970
"2004";"2. Quartal";"06";"Gasthöfe";1884;4340;17;357
"2004";"2. Quartal";"06";"Pensionen";3182;8222;34;737
"2004";"2. Quartal";"06";"Jugendherbergen";6862;16487;5;788
"2004";"2. Quartal";"06";"sonstige";1129;3812;6;311
"2004";"3. Quartal";"07";"Hotels";88722;184761;64;10939
"2004";"3. Quartal";"07";"Hotels garni";13278;28457;22;1970
"2004";"3. Quartal";"07";"Gasthöfe";2157;4654;18;373
"2004";"3. Quartal";"07";"Pensionen";2711;6706;33;592
"2004";"3. Quartal";"07";"Jugendherbergen";7395;16629;5;788
"2004";"3. Quartal";"07";"sonstige";844;3345;5;297
"2004";"3. Quartal";"08";"Hotels";96009;204306;64;10943
"2004";"3. Quartal";"08";"Hotels garni";15432;33106;23;2034
"2004";"3. Quartal";"08";"Gasthöfe";2249;5092;18;373
"2004";"3. Quartal";"08";"Pensionen";2849;7556;33;592
