"Jahr";"Stadtraum";"Eigentümer des Gebäudes";"Anteil in %"
"2002";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer Stadt";19
"2002";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer privat";33
"2002";"10 StB Leuben";"Eigennutzung";17
"2002";"10 StB Leuben";"Eigentümer Wohnungsgenossenschaft";29
"2002";"10 StB Leuben";"Eigentümer Stadt";17
"2002";"10 StB Leuben";"Eigentümer privat";37
"2002";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigennutzung";4
"2002";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer Wohnungsgenossenschaft";19
"2002";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer Stadt";57
"2002";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer privat";20
"2002";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigennutzung";27
"2002";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer Wohnungsgenossenschaft";18
"2002";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer Stadt";14
"2002";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer privat";40
"2002";"13 Südvorstadt, Zschertnitz";"Eigennutzung";6
"2002";"13 Südvorstadt, Zschertnitz";"Eigentümer Wohnungsgenossenschaft";38
"2002";"13 Südvorstadt, Zschertnitz";"Eigentümer Stadt";41
"2002";"13 Südvorstadt, Zschertnitz";"Eigentümer privat";15
"2002";"14 Mockritz, Coschütz, Plauen";"Eigennutzung";23
"2002";"14 Mockritz, Coschütz, Plauen";"Eigentümer Wohnungsgenossenschaft";24
"2002";"14 Mockritz, Coschütz, Plauen";"Eigentümer Stadt";10
"2002";"14 Mockritz, Coschütz, Plauen";"Eigentümer privat";43
