"Statistischer Bezirk";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"Bautätigkeit - Art";"Genehmigungsjahr";"Gebäudeart";"Anzahl Gebäude";"Wohnungen gesamt"
"023  Pirnaische Vs.(Blochmannstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2003";"Mehrfamilienhaus";6;259
"023  Pirnaische Vs.(Blochmannstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2004";"Mehrfamilienhaus";4;204
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1997";"Nichtwohngebäude ohne Wohnungen";1;0
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"1999";"Nichtwohngebäude ohne Wohnungen";1;0
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2000";"Nichtwohngebäude ohne Wohnungen";1;0
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2001";"Mehrfamilienhaus";3;45
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2002";"Mehrfamilienhaus";15;165
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2003";"Mehrfamilienhaus";15;225
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2003";"Nichtwohngebäude ohne Wohnungen";1;0
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2004";"Mehrfamilienhaus";14;140
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2010";"Nichtwohngebäude ohne Wohnungen";1;0
"024  Pirnaische Vs.(Pestalozzistr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2016";"Nichtwohngebäude ohne Wohnungen";2;0
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2009";"Nichtwohngebäude ohne Wohnungen";1;0
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2010";"Nichtwohngebäude ohne Wohnungen";1;0
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2015";"Nichtwohngebäude ohne Wohnungen";1;0
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2017";"Nichtwohngebäude ohne Wohnungen";1;0
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"1994";"Nichtwohngebäude ohne Wohnungen";1;0
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2002";"Mehrfamilienhaus";8;80
"025  Pirnaische Vs.(Steinstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2003";"Mehrfamilienhaus";20;200
