"Jahr";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"AltK_13IRB-2-5-9-14-17-24-29-44-59-64-74-84-";"Anzahl Einwohner"
"";"12 Radeberger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"25 - 29 Jahre";506
"";"12 Radeberger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"30 - 44 Jahre";2516
"";"12 Radeberger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"45 - 59 Jahre";1944
"";"12 Radeberger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"60 - 64 Jahre";433
"";"12 Radeberger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"65 - 74 Jahre";536
"";"12 Radeberger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"75 - 84 Jahre";475
"";"12 Radeberger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"85 Jahre u.älter";143
"";"13 Innere Neustadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"00 - 02 Jahre";323
"";"13 Innere Neustadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"03 - 05 Jahre";251
"";"13 Innere Neustadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"06 - 09 Jahre";271
"";"13 Innere Neustadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"10 - 14 Jahre";291
"";"13 Innere Neustadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"15 - 17 Jahre";131
"";"13 Innere Neustadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"18 - 24 Jahre";770
"";"13 Innere Neustadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"25 - 29 Jahre";884
"";"13 Innere Neustadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"30 - 44 Jahre";2072
"";"13 Innere Neustadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"45 - 59 Jahre";1160
"";"13 Innere Neustadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"60 - 64 Jahre";215
"";"13 Innere Neustadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"65 - 74 Jahre";590
"";"13 Innere Neustadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"75 - 84 Jahre";634
"";"13 Innere Neustadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"85 Jahre u.älter";237
"";"14 Leipziger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";"00 - 02 Jahre";554
"";"14 Leipziger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";"03 - 05 Jahre";478
"";"14 Leipziger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";"06 - 09 Jahre";529
"";"14 Leipziger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";"10 - 14 Jahre";511
"";"14 Leipziger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";"15 - 17 Jahre";218
"";"14 Leipziger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";"18 - 24 Jahre";1458
