,Jahr,Stadtraum,Eigentümer des Gebäudes,Anteil in %
503,2007,18 Dresden gesamt,Eigentümer privat,46
504,2010,01 StB Altstadt ohne Johannstadt,Eigennutzung,2
505,2010,01 StB Altstadt ohne Johannstadt,Eigentümer Wohnungsgenossenschaft,37
506,2010,01 StB Altstadt ohne Johannstadt,Eigentümer Stadt,34
507,2010,01 StB Altstadt ohne Johannstadt,Eigentümer privat,27
508,2010,02 Johannstadt,Eigennutzung,1
509,2010,02 Johannstadt,Eigentümer Wohnungsgenossenschaft,46
510,2010,02 Johannstadt,Eigentümer Stadt,26
511,2010,02 Johannstadt,Eigentümer privat,27
512,2010,03 StB Neustadt ohne Leipziger Vorstadt,Eigennutzung,7
513,2010,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Wohnungsgenossenschaft,5
514,2010,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Stadt,12
515,2010,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer privat,76
516,2010,"04 Leipziger Vorstadt, Pieschen",Eigennutzung,6
517,2010,"04 Leipziger Vorstadt, Pieschen",Eigentümer Wohnungsgenossenschaft,5
518,2010,"04 Leipziger Vorstadt, Pieschen",Eigentümer Stadt,7
519,2010,"04 Leipziger Vorstadt, Pieschen",Eigentümer privat,82
520,2010,"05 Mickten, Kaditz, Trachau",Eigennutzung,11
521,2010,"05 Mickten, Kaditz, Trachau",Eigentümer Wohnungsgenossenschaft,30
522,2010,"05 Mickten, Kaditz, Trachau",Eigentümer Stadt,5
523,2010,"05 Mickten, Kaditz, Trachau",Eigentümer privat,53
524,2010,06 StB Klotzsche und nördliche OS,Eigennutzung,46
525,2010,06 StB Klotzsche und nördliche OS,Eigentümer Wohnungsgenossenschaft,18
526,2010,06 StB Klotzsche und nördliche OS,Eigentümer Stadt,7
527,2010,06 StB Klotzsche und nördliche OS,Eigentümer privat,29
528,2010,07 StB Loschwitz und OS Schönfeld-Weißig,Eigennutzung,44
529,2010,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Wohnungsgenossenschaft,2
530,2010,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Stadt,1
531,2010,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer privat,52
532,2010,"08 Blasewitz, Striesen",Eigennutzung,8
533,2010,"08 Blasewitz, Striesen",Eigentümer Wohnungsgenossenschaft,17
534,2010,"08 Blasewitz, Striesen",Eigentümer Stadt,13
535,2010,"08 Blasewitz, Striesen",Eigentümer privat,62
536,2010,"09 Tolkewitz, Seidnitz, Gruna",Eigennutzung,5
537,2010,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Wohnungsgenossenschaft,43
538,2010,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Stadt,17
539,2010,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer privat,35
540,2010,10 StB Leuben,Eigennutzung,18
541,2010,10 StB Leuben,Eigentümer Wohnungsgenossenschaft,25
542,2010,10 StB Leuben,Eigentümer Stadt,14
543,2010,10 StB Leuben,Eigentümer privat,43
544,2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigennutzung,6
545,2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,42
546,2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,26
547,2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer privat,26
548,2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigennutzung,25
549,2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,23
550,2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,4
551,2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer privat,49
552,2010,"13 Südvorstadt, Zschertnitz",Eigennutzung,4
553,2010,"13 Südvorstadt, Zschertnitz",Eigentümer Wohnungsgenossenschaft,31
554,2010,"13 Südvorstadt, Zschertnitz",Eigentümer Stadt,38
555,2010,"13 Südvorstadt, Zschertnitz",Eigentümer privat,27
556,2010,"14 Mockritz, Coschütz, Plauen",Eigennutzung,27
557,2010,"14 Mockritz, Coschütz, Plauen",Eigentümer Wohnungsgenossenschaft,21
558,2010,"14 Mockritz, Coschütz, Plauen",Eigentümer Stadt,8
559,2010,"14 Mockritz, Coschütz, Plauen",Eigentümer privat,45
560,2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigennutzung,9
561,2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Wohnungsgenossenschaft,12
562,2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Stadt,7
563,2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer privat,72
564,2010,16 Gorbitz,Eigennutzung,2
