"Jahr";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtraum";"Wohnungen gesamt";"Wohnungen mit 1Raum";"Wohnungen mit 2 Räumen";"Wohnungen mit 3 Räumen";"Wohnungen mit 4 Räumen";"Wohnungen mit 5 Räumen";"Wohnungen mit 6 Räumen";"Wohnungen mit 7 u.mehr Räumen";"Gebäudeanzahl"
"2002";"42 Bühlau/Weißer Hirsch";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";5417;297;1282;1763;1161;566;208;140;2180
"2002";"43 Hosterwitz/Pillnitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1630;59;438;504;315;176;94;44;865
"2002";"45 Weißig";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";2926;369;1061;707;347;269;98;75;1072
"2002";"46 Gönnsdorf/Pappritz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1572;85;286;376;337;287;106;95;1004
"2002";"47 Schönfeld/Schullwitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1434;54;236;375;359;251;101;58;954
"2002";"51 Blasewitz";"StB 5 Blasewitz";"08 Blasewitz, Striesen";5091;402;1676;1624;858;355;106;70;1084
"2002";"52 Striesen-Ost";"StB 5 Blasewitz";"08 Blasewitz, Striesen";6850;418;2749;2308;1003;269;78;25;754
"2002";"53 Striesen-Süd";"StB 5 Blasewitz";"08 Blasewitz, Striesen";5788;520;2312;2153;646;117;22;18;532
"2002";"54 Striesen-West";"StB 5 Blasewitz";"08 Blasewitz, Striesen";6604;425;2628;2850;526;127;29;19;635
"2002";"55 Tolkewitz/Seidnitz-Nord";"StB 5 Blasewitz";"09 Tolkewitz, Seidnitz, Gruna";6720;422;1980;3416;723;150;19;10;831
"2002";"56 Seidnitz/Dobritz";"StB 5 Blasewitz";"09 Tolkewitz, Seidnitz, Gruna";7773;991;2940;2893;798;124;22;5;974
"2002";"57 Gruna";"StB 5 Blasewitz";"09 Tolkewitz, Seidnitz, Gruna";7158;677;1852;3316;1041;207;38;27;1089
"2002";"61 Leuben";"StB 6 Leuben";"10 StB Leuben";7289;376;3026;2988;699;152;7;41;951
