Statistischer Bezirk;Bodenrichtwerte (cls:L303);Bodenrichtwerte (cls:L483);Bodenrichtwertzonen 2015 - Beschriftung (cls:L580);Bodenleitwerte (cls:L295);Bodenrichtwerte (cls:L318);Bodenrichtwerte (cls:L308);Bodenrichtwerte (cls:L322);Bodenrichtwerte (cls:L311);Bodenrichtwerte (cls:L331);Bodenrichtwerte (cls:L312);Bodenrichtwerte (cls:L326);Bodenrichtwerte (cls:L335);Bodenrichtwerte (cls:L315);Bodenrichtwerte (cls:L329);Bodenrichtwerte (cls:L337);Bodenrichtwertzonen 2011 - Beschriftung (cls:L588);Bodenrichtwertzonen 2013 - Beschriftung (cls:L589);Bodenrichtwerte (cls:L298);Bodenrichtwerte (cls:L301);Bodenrichtwertzonen 2017 - Beschriftung (cls:L682);Bodenrichtwertzonen 2019 - Beschriftung (cls:L1079)
953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
071;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0
732;2;2;3;0;1;2;3;2;4;2;3;3;2;1;2;3;3;1;1;3;3
112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
756;2;3;3;0;3;3;3;4;2;2;3;3;2;2;3;3;3;1;1;3;3
962;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
981;3;5;7;1;4;4;5;3;5;3;5;5;3;5;5;11;8;1;2;6;6
232;1;2;5;0;1;2;2;2;2;2;2;2;1;2;2;5;5;0;1;6;6
035;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
644;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
643;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
122;3;3;3;0;3;3;3;3;3;3;3;3;3;3;3;3;3;1;2;3;3
978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
511;3;1;1;0;1;3;1;3;1;1;2;1;1;1;1;1;1;1;2;1;1
721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
414;2;5;3;2;3;3;3;3;4;3;4;4;3;4;6;3;3;1;1;3;3
524;1;1;0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1;1;0;0
114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
342;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
572;2;1;1;0;2;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;0
563;1;1;2;0;1;2;1;2;1;1;1;1;1;1;1;2;2;0;0;2;2
428;2;4;3;1;2;2;2;2;2;3;2;4;2;2;4;3;3;1;2;3;3
233;1;6;9;0;2;3;2;3;2;2;2;3;2;2;6;10;10;2;2;9;9
975;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
123;1;5;9;1;2;2;3;2;5;2;4;5;2;4;5;9;9;1;1;9;9
972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
421;2;4;5;1;4;3;4;3;4;4;5;4;4;4;4;4;4;2;2;4;4
533;2;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0;1;1;1
151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
422;1;2;2;1;1;1;2;2;3;2;2;3;1;3;2;2;2;0;1;3;3
041;4;3;3;6;2;4;2;3;2;2;2;2;2;2;2;3;3;5;4;3;3
958;2;2;4;0;1;2;3;2;3;2;3;2;2;3;2;4;4;1;2;3;3
252;2;1;2;0;1;6;2;3;1;1;1;1;2;2;1;3;2;1;1;2;2
944;1;4;3;0;2;1;2;2;2;2;2;4;2;2;4;4;3;0;1;3;3
722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
525;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1
612;1;3;2;0;1;2;1;2;2;2;1;2;3;1;3;2;2;0;1;2;2
642;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
561;1;2;4;1;2;1;2;2;2;2;2;2;2;2;2;4;4;1;1;4;4
571;2;2;1;0;1;1;1;2;1;2;1;2;2;1;2;1;1;1;0;1;1
121;1;2;1;0;2;3;2;1;2;1;2;2;2;2;2;1;1;1;0;2;1
431;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2
253;0;1;2;0;0;0;1;0;1;0;1;1;0;1;1;1;2;0;0;2;2
945;2;5;14;1;4;2;4;4;7;4;5;6;5;6;5;15;14;1;2;14;14
544;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;0;1;1
069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
613;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;1;2;2
641;1;1;4;0;1;1;1;1;1;1;1;1;1;1;1;4;4;0;0;4;4
724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
971;0;0;2;0;1;0;1;0;0;0;1;0;1;0;0;2;2;0;0;2;2
532;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;2;2;1;1;1;1
043;1;1;1;1;0;1;0;1;0;0;0;1;0;1;1;1;1;2;1;1;0
946;3;6;7;0;3;3;3;4;3;4;3;4;3;3;5;11;7;2;2;8;8
153;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;2;2;0;0;1;2
068;1;2;1;0;3;3;2;3;2;3;1;2;3;2;2;1;1;0;0;1;1
341;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2
512;5;4;5;1;3;3;3;3;4;4;3;4;3;4;4;5;5;2;3;5;5
117;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1
152;1;2;6;1;1;1;1;2;1;1;1;2;1;2;2;6;7;1;1;4;4
515;3;2;3;1;1;2;2;2;2;2;2;2;2;2;2;3;3;1;1;3;3
116;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
531;0;1;1;0;2;1;1;1;1;2;1;1;2;1;1;1;1;1;0;1;1
