Jahr,Stadtraum,Anzahl_Kinder_pro_Haushalt
2017,03 StB Neustadt ohne Leipziger Vorstadt,1.5496613995485329
2017,"04 Leipziger Vorstadt, Pieschen",1.5540554105601285
2017,"05 Mickten, Kaditz, Trachau",1.547872340425532
2017,06 StB Klotzsche und nördliche OS,1.5507915567282322
2017,07 StB Loschwitz und OS Schönfeld-Weißig,1.5469107551487413
2017,"08 Blasewitz, Striesen",1.5463320463320462
2017,"09 Tolkewitz, Seidnitz, Gruna",1.554054054054054
2017,10 StB Leuben,1.5695592286501379
2017,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5931952662721893
2017,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5526315789473686
2017,"13 Südvorstadt, Zschertnitz",1.5916666666666668
2017,"14 Mockritz, Coschütz, Plauen",1.5431726907630523
2017,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.542225201072386
2017,16 Gorbitz,1.6341059602649006
2017,17 Briesnitz und westliche OS,1.5472350230414746
2018,01 StB Altstadt ohne Johannstadt,1.5837155963302751
2018,02 Johannstadt,1.5678879310344827
2018,03 StB Neustadt ohne Leipziger Vorstadt,1.5458823529411765
2018,"04 Leipziger Vorstadt, Pieschen",1.543890056022409
2018,"05 Mickten, Kaditz, Trachau",1.5452127659574468
2018,06 StB Klotzsche und nördliche OS,1.5505249343832022
2018,07 StB Loschwitz und OS Schönfeld-Weißig,1.5462555066079295
2018,"08 Blasewitz, Striesen",1.5475047984644914
2018,"09 Tolkewitz, Seidnitz, Gruna",1.5491525423728814
2018,10 StB Leuben,1.5691214470284238
2018,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5861581920903953
2018,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5554755043227666
2018,"13 Südvorstadt, Zschertnitz",1.589522546419098
2018,"14 Mockritz, Coschütz, Plauen",1.5370722433460076
2018,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5401785714285714
2018,16 Gorbitz,1.622041420118343
2018,17 Briesnitz und westliche OS,1.5378787878787878
